E(MeV)	EventID	ParticleName	CreatorProcessName	Time(ns)
0.33534	199	gamma	eBrem	0.069087
4.2383	199	gamma	eBrem	0.0693
4.6134	203	e-	EventGenerator	0.069012
	0.35296	203	-1	EventGenerator/
8.6122	204	e-	EventGenerator	0.067405
8.6122	204	gamma	eBrem	-1e+06
	0.36847	204	-1	EventGenerator/eBrem/
3.5173	206	gamma	eBrem	0.065486
6.989	209	gamma	eBrem	0.065732
1.7736	210	e-	EventGenerator	0.068723
	0.67151	210	-1	EventGenerator/
5.2752	220	gamma	eBrem	0.065269
0.37257	223	gamma	eBrem	0.065389
0.37257	223	e-	compt	-1e+06
	0.074254	223	-1	eBrem/compt/
1.217	225	gamma	eBrem	0.065853
0.34988	227	gamma	eBrem	0.065566
0.63569	228	gamma	eBrem	0.066122
0.66728	228	gamma	eBrem	0.06698
0.97875	228	gamma	eBrem	0.066999
0.40493	229	gamma	eBrem	0.066151
4.5673	231	gamma	eBrem	0.067714
8.6315	232	e-	EventGenerator	0.069524
	0.39118	232	-1	EventGenerator/
8.5424	234	e-	EventGenerator	0.066318
	0.40067	234	-1	EventGenerator/
0.25804	235	gamma	eBrem	0.068262
1.2687	236	gamma	eBrem	0.065592
0.1272	236	gamma	eBrem	0.068971
0.67965	237	gamma	eBrem	0.065409
1.5984	238	gamma	eBrem	0.068055
2.1313	239	gamma	eBrem	0.065527
0.15889	239	gamma	eBrem	0.06809
8.8085	240	e-	EventGenerator	0.065725
	0.2893	240	-1	EventGenerator/
8.7637	246	e-	EventGenerator	0.067489
	0.48671	246	-1	EventGenerator/
0.27553	247	gamma	eBrem	0.065084
4.5036	248	gamma	eBrem	0.065138
3.1935	253	gamma	eBrem	0.065584
2.8263	256	gamma	eBrem	0.068024
8.6281	259	e-	EventGenerator	0.065891
	0.3296	259	-1	EventGenerator/
8.7646	260	e-	EventGenerator	0.067134
	0.28699	260	-1	EventGenerator/
7.1347	261	e-	EventGenerator	0.066692
1.0274	261	gamma	eBrem	0.065133
1.0274	261	gamma	eBrem	-1e+06
1.0274	261	e-	phot	-1e+06
	0.33617	261	-1	EventGenerator/eBrem/eBrem/phot/
1.1448	263	gamma	eBrem	0.065819
0.37984	265	gamma	eBrem	0.066281
7.8119	266	e-	EventGenerator	0.06526
	0.36629	266	-1	EventGenerator/
0.91802	267	gamma	eBrem	0.065191
2.6252	268	gamma	eBrem	0.065539
0.12006	268	gamma	eBrem	0.067873
8.7962	269	e-	EventGenerator	0.06653
	0.32001	269	-1	EventGenerator/
8.9055	270	e-	EventGenerator	0.065768
	0.31164	270	-1	EventGenerator/
0.29276	271	gamma	eBrem	0.066458
0.2798	272	gamma	eBrem	0.065322
0.23359	272	gamma	eBrem	0.065302
0.42474	273	gamma	eBrem	0.066726
8.3418	275	e-	EventGenerator	0.068982
	0.4465	275	-1	EventGenerator/
3.8365	277	gamma	eBrem	0.065552
7.757	278	e-	EventGenerator	0.065851
0.99862	278	gamma	eBrem	0.065161
	0.29164	278	-1	EventGenerator/eBrem/
8.6949	279	e-	EventGenerator	0.067214
	0.36303	279	-1	EventGenerator/
8.8828	280	e-	EventGenerator	0.066723
	0.35358	280	-1	EventGenerator/
8.3348	282	e-	EventGenerator	0.067458
0.17814	282	gamma	eBrem	0.066617
	0.38952	282	-1	EventGenerator/eBrem/
5.9802	283	gamma	eBrem	0.065113
5.3708	284	e-	EventGenerator	0.065708
	0.31934	284	-1	EventGenerator/
7.3132	291	e-	EventGenerator	0.066874
1.5239	291	gamma	eBrem	0.066002
	0.41269	291	-1	EventGenerator/eBrem/
5.4775	293	e-	EventGenerator	0.069234
	0.27534	293	-1	EventGenerator/
8.5296	296	e-	EventGenerator	0.066433
0.19096	296	gamma	eBrem	0.065488
	0.40629	296	-1	EventGenerator/eBrem/
4.7555	297	gamma	eBrem	0.068498
6.3685	302	e-	EventGenerator	0.066118
0.50212	302	gamma	eBrem	0.065476
0.68559	302	gamma	eBrem	0.065103
1.0036	302	gamma	eBrem	0.067353
1.0036	302	gamma	eBrem	-1e+06
	0.41081	302	-1	EventGenerator/eBrem/eBrem/eBrem/eBrem/
0.32643	303	gamma	eBrem	0.069078
5.6207	304	e-	EventGenerator	0.06665
0.22023	304	gamma	eBrem	0.068504
	0.37342	304	-1	EventGenerator/eBrem/
8.8884	306	e-	EventGenerator	0.068471
	0.26393	306	-1	EventGenerator/
2.3166	307	gamma	eBrem	0.06516
5.4188	309	gamma	eBrem	0.071748
0.3114	309	gamma	eBrem	0.070761
8.9451	310	e-	EventGenerator	0.069557
	0.059595	310	-1	EventGenerator/
8.4098	313	e-	EventGenerator	0.067514
	0.30662	313	-1	EventGenerator/
8.7726	315	e-	EventGenerator	0.065684
	0.29678	315	-1	EventGenerator/
7.6589	316	e-	EventGenerator	0.06797
	0.24646	316	-1	EventGenerator/
8.6347	320	e-	EventGenerator	0.069883
	0.079884	320	-1	EventGenerator/
9.3678	321	gamma	eBrem	0.065119
0.23479	323	gamma	eBrem	0.068582
4.3426	323	gamma	eBrem	0.06697
8.8036	324	e-	EventGenerator	0.066899
	0.32857	324	-1	EventGenerator/
8.0583	326	e-	EventGenerator	0.0689
	0.51841	326	-1	EventGenerator/
0.84268	327	gamma	eBrem	0.065252
4.5367	327	gamma	eBrem	0.067045
8.5969	329	e-	EventGenerator	0.067432
	0.3042	329	-1	EventGenerator/
8.44	330	e-	EventGenerator	0.065675
0.2992	330	gamma	eBrem	0.065158
0.2992	330	e-	eIoni	-1e+06
	0.45178	330	-1	EventGenerator/eBrem/eIoni/
3.4825	331	gamma	eBrem	0.065515
0.70634	334	gamma	eBrem	0.065093
0.63552	334	gamma	eBrem	0.065753
7.7164	335	e-	EventGenerator	0.065368
0.9569	335	gamma	eBrem	0.065734
0.16433	335	gamma	eBrem	0.068174
	0.32594	335	-1	EventGenerator/eBrem/eBrem/
4.1907	336	gamma	eBrem	0.0656
5.0208	339	e-	EventGenerator	0.06565
0.54895	339	gamma	eBrem	0.067647
	0.38523	339	-1	EventGenerator/eBrem/
8.6868	342	e-	EventGenerator	0.065672
	0.3265	342	-1	EventGenerator/
0.50355	345	gamma	eBrem	0.06925
8.2021	347	e-	EventGenerator	0.069686
0.23425	347	gamma	eBrem	0.065742
0.15941	347	gamma	eBrem	0.065639
	0.35937	347	-1	EventGenerator/eBrem/eBrem/
6.9602	350	e-	EventGenerator	0.066588
1.1011	350	gamma	eBrem	0.06517
0.24834	350	gamma	eBrem	0.067244
	0.29176	350	-1	EventGenerator/eBrem/eBrem/
8.0956	351	e-	EventGenerator	0.065888
8.0956	351	gamma	eBrem	-1e+06
	0.28617	351	-1	EventGenerator/eBrem/
8.8331	354	e-	EventGenerator	0.065061
	0.29151	354	-1	EventGenerator/
6.4905	355	e-	EventGenerator	0.065972
2.1283	355	gamma	eBrem	0.067252
	0.41793	355	-1	EventGenerator/eBrem/
8.5976	356	e-	EventGenerator	0.070099
	0.26099	356	-1	EventGenerator/
8.7461	358	e-	EventGenerator	0.066798
	0.4274	358	-1	EventGenerator/
2.1519	360	gamma	eBrem	0.065165
0.47189	361	gamma	eBrem	0.06806
0.29272	363	gamma	eBrem	0.067354
7.6655	363	gamma	eBrem	0.067687
0.68606	364	gamma	eBrem	0.065226
7.8664	365	e-	EventGenerator	0.066618
	0.26579	365	-1	EventGenerator/
0.31624	366	gamma	eBrem	0.067363
8.4179	367	e-	EventGenerator	0.070019
	0.040885	367	-1	EventGenerator/
0.45925	368	gamma	eBrem	0.066229
2.2174	368	gamma	eBrem	0.067442
8.7296	369	e-	EventGenerator	0.067291
	0.32244	369	-1	EventGenerator/
6.3693	370	e-	EventGenerator	0.06878
0.83126	370	gamma	eBrem	0.06604
	0.62864	370	-1	EventGenerator/eBrem/
8.395	373	e-	EventGenerator	0.068896
	0.56893	373	-1	EventGenerator/
8.2565	374	e-	EventGenerator	0.067785
	0.30179	374	-1	EventGenerator/
0.81342	375	gamma	eBrem	0.0663
1.0313	376	gamma	eBrem	0.065392
8.3713	377	e-	EventGenerator	0.067029
	0.34546	377	-1	EventGenerator/
1.4045	378	gamma	eBrem	0.066602
1.6944	379	gamma	eBrem	0.065841
1.9525	379	gamma	eBrem	0.067471
0.59381	380	gamma	eBrem	0.067616
8.3175	382	e-	EventGenerator	0.068168
	0.57048	382	-1	EventGenerator/
0.41786	383	gamma	eBrem	0.065303
0.40931	386	gamma	eBrem	0.067804
5.5347	386	gamma	eBrem	0.069508
6.2759	387	e-	EventGenerator	0.065591
	0.2506	387	-1	EventGenerator/
7.6959	388	e-	EventGenerator	0.067514
0.83689	388	gamma	eBrem	0.067842
	0.42603	388	-1	EventGenerator/eBrem/
0.63552	391	gamma	eBrem	0.065524
7.8242	394	e-	EventGenerator	0.0703
	0.0028471	394	-1	EventGenerator/
8.246	396	e-	EventGenerator	0.06612
	0.95495	396	-1	EventGenerator/
8.7716	397	e-	EventGenerator	0.067793
	0.25414	397	-1	EventGenerator/
4.5884	400	e-	EventGenerator	0.066007
	0.54045	400	-1	EventGenerator/
8.8273	401	e-	EventGenerator	0.067066
	0.66487	401	-1	EventGenerator/
8.9626	402	e-	EventGenerator	0.067799
	0.33748	402	-1	EventGenerator/
0.25809	404	gamma	eBrem	0.065565
2.0548	405	gamma	eBrem	0.068487
3.155	407	gamma	eBrem	0.065193
0.40138	408	gamma	eBrem	0.065321
0.73395	408	gamma	eBrem	0.068471
0.38043	408	gamma	eBrem	0.065805
0.68019	410	gamma	eBrem	0.06805
0.37637	411	gamma	eBrem	0.066652
8.3361	414	e-	EventGenerator	0.067094
	0.32324	414	-1	EventGenerator/
8.5338	417	e-	EventGenerator	0.067934
	0.0062934	417	-1	EventGenerator/
0.66911	421	gamma	eBrem	0.065196
7.2349	422	e-	EventGenerator	0.066238
1.5582	422	gamma	eBrem	0.065365
	0.31502	422	-1	EventGenerator/eBrem/
3.9377	424	gamma	eBrem	0.067527
5.3639	425	e-	EventGenerator	0.067971
2.9837	425	gamma	eBrem	0.065369
0.28446	425	gamma	eBrem	0.066181
0.28446	425	e-	eIoni	-1e+06
	0.83562	425	-1	EventGenerator/eBrem/eBrem/eIoni/
9.4347	426	gamma	eBrem	0.066828
0.78804	431	gamma	eBrem	0.067187
8.567	432	e-	EventGenerator	0.068026
	0.17755	432	-1	EventGenerator/
2.8252	435	gamma	eBrem	0.066066
0.86443	435	gamma	eBrem	0.067916
3.936	436	gamma	eBrem	0.065509
0.12258	436	gamma	eBrem	0.06676
8.8095	438	e-	EventGenerator	0.065148
	0.28097	438	-1	EventGenerator/
6.8424	439	e-	EventGenerator	0.066561
